IF.PC  ID.PC  EX.PC  MEM.PC  WB.PC
0      0      0      0       0
4      0      0      0       0
8      4      0      0       0
12     8      4      0       0
16     12     8      4       0
20     16     12     8       4
24     20     16     12      8
28     24     20     16      12
32     28     24     20      16
36     32     28     24      20
40     36     32     28      24
44     40     36     32      28
48     44     40     36      32
52     48     44     40      36
56     52     48     44      40
60     56     52     48      44
64     60     56     52      48
68     64     60     56      52
72     68     64     60      56
76     72     68     64      60
80     76     72     68      64
84     80     76     72      68
88     84     80     76      72
92     88     84     80      76
96     92     88     84      80
100    96     92     88      84
104    100    96     92      88
108    104    100    96      92
112    108    104    100     96
116    112    108    104     100
120    116    112    108     104
124    120    116    112     108
128    124    120    116     112
132    128    124    120     116
136    132    128    124     120
140    136    132    128     124
144    140    136    132     128
148    144    140    136     132
152    148    144    140     136
156    152    148    144     140
160    156    152    148     144
164    160    156    152     148
168    164    160    156     152
172    168    164    160     156
176    172    168    164     160
180    176    172    168     164
184    180    176    172     168
188    184    180    176     172
192    188    184    180     176
196    192    188    184     180
200    196    192    188     184
204    200    196    192     188
208    204    200    196     192
212    208    204    200     196
216    212    208    204     200
220    216    212    208     204
224    220    216    212     208
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    232    228    224     220
240    236    232    228     224
244    240    236    232     228
248    244    240    236     232
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
220    216    212    0       0
224    220    216    212     0
224    220    0      216     212
228    224    220    0       216
232    228    224    220     0
236    0      0      224     220
240    236    0      0       224
244    240    236    0       0
248    244    240    236     0
212    0      0      240     236
216    212    0      0       240
